LEI,Legal Name,Parent LEI,Parent Legal Name
21380019BS3S18BSPW60,ELIZABETH ANN BRACKENRIDGE WILL TRUST,N/A,N/A
21380019BTWEB8OMMA65,JUDITH ROBERTS WILL TRUST,N/A,N/A
21380019BJTEC6E9PL69,STAALCOM VENTURES LTD,N/A,N/A
21380019ATDFTX7EC357,CEDAR PURPOSE INVESTMENT MANAGEMENT LIMITED,N/A,N/A
21380019AZYNXOKTAJ46,ARTHUR WALLER PROPERTIES LIMITED,N/A,N/A
21380019BBM3ADOV5C52,THE S E H TWALLIN SETTLEMENT FOR THE CHILDREN OF C H SEWELL,N/A,N/A
21380019BT954N9HN273,LATEX ANSTALT,N/A,N/A
21380019BKP9C7ZPYQ38,THE MARY BRIDGET HARE DECEASED WILL TRUST,N/A,N/A
21380019BLHWQ6TECG98,CECIL MORTLEY YUILL 1962 SETTLEMENT - CAROLINE'S FUND,N/A,N/A
21380019CHB5BESD5166,THE HETTON ESTATE,N/A,N/A
21380019C6G5LX6ABK23,K FISKE 1992 SETTLEMENT,N/A,N/A
21380019BDR3CZMZ8405,ACCEL GROWTH IV FVCI (MAURITIUS) LTD.,2138008QI1V9SH7VXC80,ACCEL GROWTH IV HOLDINGS (MAURITIUS) LTD.
21380019CML8X4434616,CALM TREASURY HOLDINGS LIMITED,N/A,N/A
21380019CU4KY7AZIP64,KPS GLOBAL ASSET MANAGEMENT UK LIMITED,N/A,N/A
21380019CJ5T1PNY3Q69,LANDORE RESOURCES LIMITED,N/A,N/A
21380019DTO6LPQFD190,CHIRIC INTERNATIONAL LIMITED,N/A,N/A
21380019E5B2HR23LV10,SARANAC PARTNERS LIMITED,N/A,N/A
21380019D3BMJ56T3V32,DALKEITH SPV LIMITED,N/A,N/A
21380019CUOEX7XWGD34,THE KING FAMILY TRUST,N/A,N/A
21380019E2L4Q5YHB549,BONDCARE WILLINGTON LIMITED,N/A,N/A
21380019D3KEK1521511,ΝΤΙΜΕΞ Α.Ε.,N/A,N/A
21380019CV1NOXCYFX68,INTERCITY MOBILE COMMUNICATIONS LTD SUNTRUST PENSION PLAN,N/A,N/A
21380019E9D5V5UOQN27,GORDON JAMES LOTHIAN BARCLAY DISCRETIONARY TRUST,N/A,N/A
21380019EJZUCT1IEE93,ROPENHAGEN A/S,N/A,N/A
21380019EQOVM4W29G36,EDWARD COTTAM CHARITY,N/A,N/A
21380019DTJEXBHRTS79,PRESTONFIELD P1 LIMITED,213800YWGI3P65DIBU78,PRESTONFIELD INVESTMENTS LIMITED
21380019EAD6N1LBHW48,LDC X LP,549300PPXHEU2JF0AM85,LLOYDS BANKING GROUP PLC
21380019ENG1V6WLPS77,UCB MANUFACTURING IRELAND LIMITED,2138008J191VLSGY5A09,U C B
21380019EJPLSFHJHQ52,NAC PLASTICS LIMITED DIRECTORS' PENSION SCHEME,N/A,N/A
21380019F25NCBM3W232,PANCEPTA LIMITED,N/A,N/A
21380019FH6RRCNVN731,ميتاليكس لتجارة المعادن الثمينة ش.ذ.م.م,N/A,N/A
21380019GH3VDHJX9Y84,ALAN MARVIN GRANDCHILDREN SETTLEMENT 1997,N/A,N/A
21380019FNEBXFG8WM86,THE AD TRUST,N/A,N/A
21380019G3AURG3UAE26,GP SJP LIMITED,N/A,N/A
21380019FSTIOZM5V207,FARNBOROUGH & COVE WAR MEMORIAL HOSPITAL TRUST LTD,N/A,N/A
21380019GBUE8TP75U52,MARY FRANCES HAY WILL TRUST,N/A,N/A
21380019F3JF5FT49V22,THE ROY AND PIXIE BAKER CHARITABLE TRUST,N/A,N/A
21380019GPV924GRNH40,MEIRING FAMILY TRUST,N/A,N/A
21380019GW2CGMNOMF16,ΝΙΒΛ ΔΙΑΧΕΙΡΙΣΗ ΑΚΙΝΗΤΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,N/A,N/A
21380019H6KTROUKZ603,CORALCOU INVESTMENTS LIMITED,N/A,N/A
21380019HRDK3OZFEJ44,THE 2011 COMPUTACENTER EMPLOYEE BENEFIT TRUST,N/A,N/A
21380019H6U8AGSWWT96,CHRISTIANS IN OVERSEAS SERVICE TRUST LIMITED,N/A,N/A
21380019HUHO9RMIBJ48,EVELYN MARGARET WARD DISCRETIONARY WILL TRUST,N/A,N/A
